timestamp,threshold,avg_usd,max_usd,samples
2026-01-03T21:32:05.794Z,1,72.90,1812.81,1209
2026-01-03T21:33:05.795Z,0.9,70.85,194.33,5
2026-01-03T21:33:05.795Z,0.95,48.12,576.00,22
2026-01-03T21:33:05.795Z,0.98,36.25,716.42,141
2026-01-03T21:33:05.795Z,0.985,36.19,716.42,143
2026-01-03T21:33:05.795Z,0.99,38.67,772.35,318
2026-01-03T21:33:05.795Z,0.995,38.67,772.35,318
2026-01-03T21:33:05.795Z,1,71.47,1812.81,1255
2026-01-03T21:34:05.795Z,0.9,70.85,194.33,5
2026-01-03T21:34:05.795Z,0.95,48.12,576.00,22
2026-01-03T21:34:05.795Z,0.98,37.10,716.42,149
2026-01-03T21:34:05.795Z,0.985,37.03,716.42,151
2026-01-03T21:34:05.795Z,0.99,39.76,772.35,331
2026-01-03T21:34:05.795Z,0.995,39.76,772.35,331
2026-01-03T21:34:05.795Z,1,71.17,1812.81,1284
2026-01-03T21:35:05.796Z,0.9,70.85,194.33,5
2026-01-03T21:35:05.796Z,0.95,48.12,576.00,22
2026-01-03T21:35:05.796Z,0.98,36.93,716.42,151
2026-01-03T21:35:05.796Z,0.985,36.86,716.42,153
2026-01-03T21:35:05.796Z,0.99,39.58,772.35,340
2026-01-03T21:35:05.796Z,0.995,39.58,772.35,340
2026-01-03T21:35:05.796Z,1,70.00,1812.81,1320
2026-01-03T21:36:05.797Z,0.9,70.85,194.33,5
2026-01-03T21:36:05.797Z,0.95,48.12,576.00,22
2026-01-03T21:36:05.797Z,0.98,36.93,716.42,151
2026-01-03T21:36:05.797Z,0.985,36.86,716.42,153
2026-01-03T21:36:05.797Z,0.99,39.38,772.35,345
2026-01-03T21:36:05.797Z,0.995,39.38,772.35,345
2026-01-03T21:36:05.797Z,1,69.20,1812.81,1356
2026-01-03T21:37:05.798Z,0.9,70.85,194.33,5
2026-01-03T21:37:05.798Z,0.95,48.12,576.00,22
2026-01-03T21:37:05.798Z,0.98,36.93,716.42,151
2026-01-03T21:37:05.798Z,0.985,36.86,716.42,153
2026-01-03T21:37:05.798Z,0.99,39.82,772.35,349
2026-01-03T21:37:05.798Z,0.995,39.82,772.35,349
2026-01-03T21:37:05.798Z,1,69.17,1812.81,1368
2026-01-03T21:38:05.798Z,0.9,70.85,194.33,5
2026-01-03T21:38:05.798Z,0.95,48.12,576.00,22
2026-01-03T21:38:05.798Z,0.98,36.93,716.42,151
2026-01-03T21:38:05.798Z,0.985,36.86,716.42,153
2026-01-03T21:38:05.798Z,0.99,39.58,772.35,354
2026-01-03T21:38:05.798Z,0.995,39.58,772.35,354
2026-01-03T21:38:05.798Z,1,68.61,1812.81,1389
2026-01-03T21:39:05.799Z,0.9,70.85,194.33,5
2026-01-03T21:39:05.799Z,0.95,48.12,576.00,22
