timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T21:55:40.959Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:55:40.959Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:56:40.961Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:56:40.961Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:57:40.962Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:57:40.962Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:58:40.962Z,0.8,12,65.3,43.7,86.1,96,0.460,0.855
2026-01-07T21:58:40.962Z,0.9,6,69.4,55.1,83.7,100,0.443,0.910
2026-01-07T21:59:40.964Z,0.8,13,65.7,43.7,86.1,94,0.455,0.861
2026-01-07T21:59:40.964Z,0.9,7,69.7,55.1,83.7,97,0.437,0.913
2026-01-07T21:59:40.964Z,0.95,1,74.6,74.6,74.6,71,0.390,0.950
2026-01-07T22:00:40.965Z,0.8,17,51.7,0.2,86.1,74,0.456,0.864
2026-01-07T22:00:40.965Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:00:40.965Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:01:40.965Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:01:40.965Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:01:40.965Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:02:40.967Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:02:40.967Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:02:40.967Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:03:40.969Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:03:40.969Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:03:40.969Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:04:40.971Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:04:40.971Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:04:40.971Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:05:40.971Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:05:40.971Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:05:40.971Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:06:40.971Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:06:40.971Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:06:40.971Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:07:40.972Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:07:40.972Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:07:40.972Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:08:40.974Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:08:40.974Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:08:40.974Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:09:40.976Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:09:40.976Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
