timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T16:04:51.305Z,symbol,xrp,15m,983,0,3,4,4,12,12,,,0.4920,0.4540,0.5483,0.4033,0.5483,0.4033,0.5245,0.4540,0.5245,0.4540
2026-01-04T16:04:51.305Z,symbol,sol,15m,1527,0,0,12,12,24,24,,,,,0.5400,0.4367,0.5400,0.4367,0.5766,0.4071,0.5766,0.4071
2026-01-04T16:05:51.306Z,all,,,17944,0,3,45,45,144,149,,,0.5267,0.4200,0.6016,0.3731,0.6016,0.3731,0.6471,0.3381,0.6586,0.3268
2026-01-04T16:05:51.306Z,symbol,btc,15m,10388,0,0,9,9,58,61,,,,,0.5662,0.4115,0.5662,0.4115,0.5914,0.3962,0.5971,0.3906
2026-01-04T16:05:51.306Z,symbol,eth,15m,4912,0,0,19,19,49,51,,,,,0.6367,0.3385,0.6367,0.3385,0.6439,0.3400,0.6510,0.3330
2026-01-04T16:05:51.306Z,symbol,xrp,15m,1031,0,3,5,5,13,13,,,0.4771,0.4686,0.5089,0.4433,0.5089,0.4433,0.4889,0.4885,0.4889,0.4885
2026-01-04T16:05:51.306Z,symbol,sol,15m,1613,0,0,12,12,24,24,,,,,0.5450,0.4320,0.5450,0.4320,0.5788,0.4051,0.5788,0.4051
2026-01-04T16:06:51.308Z,all,,,19638,0,4,53,53,165,170,,,0.5550,0.3925,0.6089,0.3655,0.6089,0.3655,0.6473,0.3376,0.6574,0.3277
2026-01-04T16:06:51.308Z,symbol,btc,15m,11546,0,0,14,14,70,73,,,,,0.5770,0.4006,0.5770,0.4006,0.6003,0.3873,0.6046,0.3830
2026-01-04T16:06:51.308Z,symbol,eth,15m,5304,0,1,21,21,55,57,,,0.6400,0.3100,0.6390,0.3354,0.6390,0.3354,0.6407,0.3430,0.6464,0.3374
2026-01-04T16:06:51.308Z,symbol,xrp,15m,1075,0,3,6,6,16,16,,,0.4689,0.4767,0.4831,0.4715,0.4831,0.4715,0.4568,0.5208,0.4568,0.5208
2026-01-04T16:06:51.308Z,symbol,sol,15m,1713,0,0,12,12,24,24,,,,,0.5491,0.4282,0.5491,0.4282,0.5806,0.4035,0.5806,0.4035
2026-01-04T16:07:51.308Z,all,,,20860,0,4,58,58,186,191,,,0.5550,0.3925,0.6126,0.3616,0.6126,0.3616,0.6492,0.3358,0.6582,0.3270
2026-01-04T16:07:51.308Z,symbol,btc,15m,12335,0,0,15,15,83,86,,,,,0.5843,0.3931,0.5843,0.3931,0.6084,0.3791,0.6118,0.3758
2026-01-04T16:07:51.308Z,symbol,eth,15m,5574,0,1,25,25,61,63,,,0.6400,0.3100,0.6415,0.3321,0.6415,0.3321,0.6395,0.3438,0.6441,0.3393
2026-01-04T16:07:51.308Z,symbol,xrp,15m,1165,0,3,6,6,17,17,,,0.4636,0.4818,0.4694,0.4865,0.4694,0.4865,0.4356,0.5423,0.4356,0.5423
